n,plus,multi,square,compare
169,1.6e-05,1.6e-05,1.8e-05,1.6e-05
170,1.6e-05,1.6e-05,1.9e-05,1.6e-05
171,2.2e-05,1.6e-05,1.9e-05,1.7e-05
172,1.8e-05,1.6e-05,1.9e-05,1.6e-05
173,1.7e-05,1.6e-05,1.9e-05,1.6e-05
174,2.1e-05,1.7e-05,1.9e-05,2.8e-05
175,1.7e-05,1.6e-05,1.9e-05,2.2e-05
176,1.7e-05,1.6e-05,1.9e-05,2.1e-05
177,1.6e-05,1.7e-05,1.9e-05,2e-05
178,1.6e-05,1.7e-05,1.9e-05,2e-05
179,1.6e-05,1.6e-05,1.9e-05,2.1e-05
180,1.6e-05,1.6e-05,1.9e-05,2.1e-05
181,1.9e-05,1.6e-05,1.9e-05,2.1e-05
182,1.7e-05,1.7e-05,2e-05,2.1e-05
183,1.7e-05,1.7e-05,1.9e-05,2.1e-05
184,1.7e-05,1.7e-05,2e-05,2.1e-05
185,1.6e-05,1.6e-05,1.9e-05,2.1e-05
186,1.6e-05,1.6e-05,2e-05,2.1e-05
187,1.6e-05,1.6e-05,2e-05,2.1e-05
188,1.6e-05,1.7e-05,1.9e-05,3.2e-05
189,1.6e-05,1.7e-05,1.9e-05,2.4e-05
190,1.6e-05,1.7e-05,2e-05,2.1e-05
191,1.6e-05,1.7e-05,2e-05,2.1e-05
192,1.6e-05,1.7e-05,2e-05,2.1e-05
193,1.7e-05,1.7e-05,1.9e-05,2.1e-05
194,1.7e-05,1.7e-05,1.9e-05,2e-05
195,1.7e-05,1.7e-05,2e-05,2e-05
196,1.6e-05,1.7e-05,1.9e-05,2e-05
197,1.6e-05,1.7e-05,1.9e-05,2e-05
198,1.6e-05,1.7e-05,1.9e-05,2.1e-05
199,1.6e-05,1.6e-05,1.9e-05,2.1e-05
200,1.6e-05,2.2e-05,2e-05,2.1e-05
201,1.6e-05,1.8e-05,1.9e-05,2e-05
202,1.9e-05,1.6e-05,1.9e-05,2.1e-05
203,1.7e-05,1.6e-05,1.9e-05,2.1e-05
204,1.6e-05,1.7e-05,2e-05,2e-05
205,1.6e-05,1.7e-05,1.9e-05,2.1e-05
206,1.7e-05,1.7e-05,2e-05,2.1e-05
207,1.7e-05,1.7e-05,2e-05,2.1e-05
208,1.7e-05,1.7e-05,2e-05,2e-05
209,1.7e-05,1.7e-05,1.9e-05,2e-05
210,1.6e-05,1.7e-05,1.9e-05,2.1e-05
211,1.7e-05,1.6e-05,1.9e-05,2.1e-05
212,1.7e-05,1.6e-05,1.9e-05,1.7e-05
213,1.7e-05,1.7e-05,1.9e-05,1.7e-05
214,1.6e-05,1.7e-05,1.9e-05,1.7e-05
215,1.6e-05,1.6e-05,1.9e-05,1.6e-05
216,1.7e-05,1.6e-05,2e-05,1.6e-05
217,1.7e-05,1.6e-05,2e-05,1.7e-05
218,2.5e-05,1.6e-05,2e-05,1.7e-05
219,1.7e-05,1.7e-05,1.9e-05,1.6e-05
220,2.1e-05,1.6e-05,2e-05,1.7e-05
221,1.7e-05,1.6e-05,2e-05,1.7e-05
222,1.6e-05,1.6e-05,1.9e-05,1.7e-05
223,1.7e-05,1.6e-05,1.9e-05,1.7e-05
224,1.7e-05,1.6e-05,2e-05,1.7e-05
225,1.6e-05,1.6e-05,1.9e-05,1.6e-05
226,1.6e-05,1.6e-05,1.9e-05,1.7e-05
227,2.2e-05,1.6e-05,2.5e-05,1.7e-05
228,1.9e-05,1.6e-05,2.1e-05,1.6e-05
229,1.8e-05,1.6e-05,2e-05,2.2e-05
230,1.8e-05,1.7e-05,1.9e-05,1.8e-05
231,1.8e-05,1.7e-05,2e-05,1.8e-05
232,1.7e-05,1.7e-05,2e-05,1.7e-05
233,1.8e-05,1.7e-05,2e-05,1.7e-05
234,1.7e-05,1.7e-05,2e-05,1.7e-05
235,1.7e-05,1.6e-05,2e-05,1.7e-05
236,1.7e-05,1.7e-05,2e-05,1.8e-05
237,1.8e-05,1.7e-05,2e-05,1.7e-05
238,1.7e-05,1.7e-05,1.9e-05,1.6e-05
239,1.7e-05,1.7e-05,2e-05,1.7e-05
240,1.8e-05,1.7e-05,1.9e-05,1.7e-05
241,1.7e-05,1.7e-05,2e-05,1.7e-05
242,1.7e-05,1.7e-05,1.9e-05,1.7e-05
243,1.7e-05,1.7e-05,2e-05,1.7e-05
244,1.7e-05,1.7e-05,2.1e-05,1.7e-05
245,1.7e-05,1.7e-05,2e-05,1.7e-05
246,1.7e-05,1.7e-05,2.1e-05,1.7e-05
247,1.7e-05,2.2e-05,2e-05,1.7e-05
248,1.7e-05,1.8e-05,2.1e-05,1.7e-05
249,1.7e-05,1.7e-05,2e-05,1.8e-05
250,1.8e-05,5.2e-05,2e-05,1.7e-05
251,1.8e-05,3.5e-05,2e-05,1.7e-05
252,1.7e-05,2.6e-05,2e-05,1.8e-05
253,1.7e-05,2.4e-05,2e-05,1.7e-05
254,1.7e-05,2.3e-05,2.1e-05,1.7e-05
255,1.8e-05,2.2e-05,2e-05,1.7e-05
256,1.8e-05,2.2e-05,2e-05,1.8e-05
257,1.7e-05,2.2e-05,1.9e-05,1.7e-05
258,1.8e-05,2.2e-05,2e-05,1.8e-05
259,1.8e-05,2.2e-05,2e-05,1.7e-05
260,1.8e-05,2.2e-05,2.1e-05,1.7e-05
261,1.8e-05,2.2e-05,2e-05,1.7e-05
262,1.7e-05,2.1e-05,2e-05,1.7e-05
263,2.4e-05,3.4e-05,2e-05,1.7e-05
264,1.7e-05,2.4e-05,2e-05,1.8e-05
265,1.7e-05,2.2e-05,2e-05,1.8e-05
266,1.7e-05,1.7e-05,2e-05,1.8e-05
267,1.8e-05,1.7e-05,2.5e-05,1.7e-05
268,1.8e-05,1.8e-05,2.3e-05,1.7e-05
269,1.7e-05,1.8e-05,2.1e-05,1.7e-05
270,1.7e-05,1.7e-05,2.1e-05,1.8e-05
271,1.8e-05,1.7e-05,2e-05,1.8e-05
272,1.8e-05,1.8e-05,2.1e-05,1.8e-05
273,1.7e-05,1.8e-05,2.1e-05,1.7e-05
274,1.8e-05,1.8e-05,2.1e-05,2.3e-05
275,1.8e-05,1.8e-05,2e-05,1.9e-05
276,1.8e-05,1.8e-05,2e-05,1.8e-05
277,1.7e-05,1.8e-05,2e-05,1.8e-05
278,1.8e-05,1.8e-05,2e-05,1.7e-05
279,1.8e-05,1.8e-05,2.1e-05,1.8e-05
280,1.8e-05,1.7e-05,2.1e-05,1.7e-05
281,1.7e-05,1.7e-05,2.1e-05,1.8e-05
282,1.7e-05,1.7e-05,2.1e-05,1.8e-05
283,1.8e-05,1.8e-05,2.1e-05,1.8e-05
284,1.7e-05,1.8e-05,2e-05,1.8e-05
285,1.8e-05,1.8e-05,2.1e-05,1.8e-05
286,1.7e-05,1.8e-05,2.1e-05,1.8e-05
287,1.8e-05,1.8e-05,2.1e-05,1.8e-05
288,1.8e-05,1.7e-05,2.1e-05,1.8e-05
289,1.8e-05,1.8e-05,2e-05,1.8e-05
290,1.8e-05,1.7e-05,2e-05,1.7e-05
291,1.8e-05,1.8e-05,2.1e-05,1.8e-05
292,1.8e-05,1.7e-05,2e-05,1.7e-05
293,1.8e-05,1.8e-05,2e-05,1.8e-05
294,1.7e-05,1.8e-05,2.1e-05,1.8e-05
295,1.8e-05,1.7e-05,2e-05,1.8e-05
296,1.8e-05,1.8e-05,2.1e-05,1.8e-05
297,1.8e-05,1.8e-05,2e-05,1.8e-05
298,1.7e-05,1.8e-05,2.1e-05,1.7e-05
299,1.8e-05,1.8e-05,2.1e-05,1.8e-05
300,1.8e-05,1.8e-05,2.1e-05,1.7e-05
301,1.8e-05,1.8e-05,2.1e-05,1.8e-05
302,1.7e-05,1.7e-05,2.1e-05,1.7e-05
303,1.8e-05,1.8e-05,2.1e-05,1.8e-05
304,1.8e-05,1.7e-05,2.1e-05,1.7e-05
305,2.1e-05,1.8e-05,2.1e-05,1.8e-05
306,1.9e-05,1.8e-05,2.6e-05,1.8e-05
307,2.3e-05,2e-05,2.2e-05,1.7e-05
308,1.8e-05,1.8e-05,2.1e-05,1.8e-05
309,1.8e-05,1.8e-05,2.1e-05,1.8e-05
310,2.2e-05,1.8e-05,2.1e-05,1.8e-05
311,1.9e-05,1.8e-05,2.1e-05,1.8e-05
312,1.8e-05,1.9e-05,2.1e-05,1.8e-05
313,1.8e-05,1.8e-05,2.1e-05,1.8e-05
314,1.9e-05,1.8e-05,2.2e-05,1.8e-05
315,1.9e-05,1.8e-05,2.1e-05,1.8e-05
316,1.7e-05,1.8e-05,2.1e-05,1.8e-05
317,1.9e-05,1.8e-05,2.1e-05,1.8e-05
318,1.9e-05,1.8e-05,2.2e-05,2.3e-05
319,1.8e-05,1.8e-05,2.1e-05,1.8e-05
320,1.8e-05,1.8e-05,2.2e-05,1.8e-05
321,1.8e-05,1.8e-05,2.1e-05,1.8e-05
322,1.8e-05,1.8e-05,2.1e-05,1.8e-05
323,1.8e-05,1.8e-05,2.1e-05,1.8e-05
324,1.8e-05,1.8e-05,2.1e-05,1.8e-05
325,1.9e-05,1.8e-05,2.1e-05,1.8e-05
326,1.9e-05,1.8e-05,2.1e-05,1.8e-05
327,1.9e-05,1.8e-05,2.1e-05,1.8e-05
328,1.8e-05,1.8e-05,2.2e-05,1.8e-05
329,1.8e-05,1.8e-05,2.1e-05,1.8e-05
330,1.8e-05,1.9e-05,2.1e-05,1.8e-05
331,1.9e-05,1.9e-05,2.1e-05,1.8e-05
332,1.9e-05,1.8e-05,2.1e-05,1.8e-05
333,1.8e-05,1.8e-05,2.2e-05,1.8e-05
334,1.8e-05,1.8e-05,2.1e-05,1.9e-05
335,1.8e-05,1.8e-05,2.2e-05,1.8e-05
336,1.8e-05,1.8e-05,2.2e-05,1.8e-05
337,1.8e-05,1.8e-05,2.1e-05,1.8e-05
338,1.8e-05,1.8e-05,2.2e-05,1.9e-05
339,1.8e-05,1.8e-05,2.1e-05,1.8e-05
340,1.8e-05,1.8e-05,2.1e-05,1.8e-05
341,1.8e-05,1.8e-05,2.2e-05,1.9e-05
342,1.9e-05,1.9e-05,2.2e-05,1.8e-05
343,1.8e-05,1.9e-05,2.1e-05,1.8e-05
344,1.8e-05,1.8e-05,2.6e-05,1.8e-05
345,1.8e-05,1.8e-05,2.3e-05,1.9e-05
346,1.8e-05,1.8e-05,2.2e-05,1.8e-05
347,1.9e-05,1.8e-05,2.2e-05,1.8e-05
348,1.8e-05,1.8e-05,2.2e-05,1.9e-05
349,1.8e-05,1.8e-05,2.2e-05,1.8e-05
350,2e-05,2.4e-05,2.2e-05,1.9e-05
351,2e-05,1.8e-05,2.2e-05,1.8e-05
352,1.8e-05,1.8e-05,2.2e-05,1.9e-05
353,1.8e-05,1.9e-05,2.1e-05,1.8e-05
354,1.8e-05,1.8e-05,2.2e-05,1.8e-05
355,1.8e-05,1.8e-05,2.2e-05,1.9e-05
356,1.8e-05,1.9e-05,2.2e-05,1.8e-05
357,1.8e-05,1.8e-05,2.1e-05,1.8e-05
358,1.8e-05,1.7e-05,2.2e-05,1.9e-05
359,1.8e-05,1.8e-05,2.1e-05,1.8e-05
360,1.9e-05,1.9e-05,2.2e-05,1.8e-05
361,1.8e-05,1.8e-05,2.2e-05,2.5e-05
362,1.8e-05,1.8e-05,2.2e-05,1.9e-05
363,1.8e-05,1.8e-05,2.3e-05,1.9e-05
364,1.8e-05,1.9e-05,2.2e-05,1.9e-05
365,1.9e-05,1.8e-05,2.2e-05,1.8e-05
366,1.8e-05,1.8e-05,2.2e-05,1.8e-05
367,1.9e-05,1.8e-05,2.2e-05,1.9e-05
368,1.8e-05,1.9e-05,2.3e-05,1.8e-05
369,2.2e-05,1.8e-05,2.2e-05,1.9e-05
370,1.9e-05,1.8e-05,2.2e-05,1.9e-05
371,1.9e-05,1.8e-05,2.2e-05,1.9e-05
372,1.8e-05,1.9e-05,2.2e-05,1.9e-05
373,1.9e-05,1.8e-05,2.2e-05,1.9e-05
374,1.8e-05,1.9e-05,2.3e-05,1.9e-05
375,1.8e-05,1.9e-05,2.2e-05,1.9e-05
376,1.8e-05,1.9e-05,2.2e-05,1.9e-05
377,1.8e-05,1.9e-05,2.3e-05,1.9e-05
378,1.9e-05,1.9e-05,2.3e-05,1.9e-05
379,1.8e-05,1.8e-05,2.3e-05,1.9e-05
