n,plus,multi,square
2057,3.5e-05,3.7e-05,7.3e-05
2058,3.5e-05,3.6e-05,7.4e-05
2059,3.6e-05,3.6e-05,7.2e-05
2060,3.5e-05,4.2e-05,7.2e-05
2061,3.5e-05,3.7e-05,7.2e-05
2062,3.6e-05,3.6e-05,7.2e-05
2063,3.5e-05,3.6e-05,7.2e-05
2064,3.5e-05,3.6e-05,7.3e-05
2065,3.5e-05,3.6e-05,7e-05
2066,3.6e-05,3.6e-05,7.3e-05
2067,3.5e-05,3.6e-05,7.2e-05
2068,3.6e-05,3.6e-05,7.5e-05
2069,3.6e-05,3.6e-05,7.1e-05
2070,3.6e-05,3.6e-05,7.3e-05
2071,3.5e-05,3.7e-05,7.2e-05
2072,3.6e-05,3.6e-05,7.3e-05
2073,4.1e-05,3.6e-05,7.1e-05
2074,3.6e-05,3.6e-05,7.3e-05
2075,3.6e-05,3.6e-05,7.3e-05
2076,3.6e-05,3.7e-05,7.4e-05
2077,3.6e-05,3.6e-05,7.4e-05
2078,3.6e-05,3.7e-05,7.4e-05
2079,4.1e-05,3.6e-05,7.9e-05
2080,3.6e-05,3.6e-05,7.4e-05
2081,3.6e-05,4.1e-05,7.3e-05
2082,3.6e-05,3.7e-05,7.2e-05
2083,3.5e-05,3.6e-05,7.4e-05
2084,3.6e-05,3.7e-05,7.4e-05
2085,3.6e-05,3.7e-05,7.2e-05
2086,3.6e-05,3.6e-05,7.4e-05
2087,3.6e-05,3.6e-05,8.3e-05
2088,3.6e-05,3.7e-05,7.5e-05
2089,3.5e-05,3.7e-05,7.3e-05
2090,4e-05,3.6e-05,8.6e-05
2091,3.6e-05,3.7e-05,7.4e-05
2092,3.6e-05,3.7e-05,7.4e-05
2093,3.6e-05,7.7e-05,7.4e-05
2094,4.1e-05,4.9e-05,7.5e-05
2095,3.6e-05,5.4e-05,7.4e-05
2096,3.6e-05,5.2e-05,7.5e-05
2097,3.5e-05,4.6e-05,7.3e-05
2098,3.6e-05,4.6e-05,7.4e-05
2099,3.6e-05,4.5e-05,7.5e-05
2100,3.5e-05,4.6e-05,7.4e-05
2101,3.6e-05,3.7e-05,8.7e-05
2102,3.6e-05,3.7e-05,7.5e-05
2103,3.6e-05,3.6e-05,7.6e-05
2104,3.6e-05,3.6e-05,7.6e-05
2105,3.6e-05,3.7e-05,7.2e-05
2106,3.6e-05,3.7e-05,7.4e-05
2107,3.6e-05,3.7e-05,7.5e-05
2108,3.6e-05,3.7e-05,7.5e-05
2109,3.6e-05,3.7e-05,7.4e-05
2110,3.6e-05,3.7e-05,7.5e-05
2111,3.6e-05,3.7e-05,7.5e-05
2112,3.6e-05,3.7e-05,7.9e-05
2113,3.6e-05,3.7e-05,7.3e-05
2114,3.6e-05,4.2e-05,7.4e-05
2115,3.8e-05,3.7e-05,7.4e-05
2116,3.6e-05,3.7e-05,7.5e-05
2117,3.6e-05,3.7e-05,7.4e-05
2118,3.5e-05,3.7e-05,7.6e-05
2119,3.6e-05,3.6e-05,7.4e-05
2120,3.5e-05,3.6e-05,7.4e-05
2121,3.7e-05,3.6e-05,7.5e-05
2122,3.6e-05,3.7e-05,7.5e-05
2123,3.6e-05,3.7e-05,8.9e-05
2124,3.6e-05,3.7e-05,7.6e-05
2125,3.6e-05,3.7e-05,7.4e-05
2126,3.7e-05,3.7e-05,7.4e-05
2127,3.6e-05,3.7e-05,7.5e-05
2128,3.6e-05,3.7e-05,7.6e-05
2129,3.7e-05,3.7e-05,7.4e-05
2130,3.6e-05,3.7e-05,7.5e-05
2131,3.6e-05,3.6e-05,7.5e-05
2132,3.7e-05,3.7e-05,7.5e-05
2133,3.6e-05,3.7e-05,7.6e-05
2134,3.6e-05,3.6e-05,7.9e-05
2135,4.1e-05,3.9e-05,7.6e-05
2136,3.7e-05,3.7e-05,7.6e-05
2137,3.6e-05,3.7e-05,7.7e-05
2138,3.6e-05,3.7e-05,7.5e-05
2139,3.7e-05,3.7e-05,7.5e-05
2140,3.6e-05,3.7e-05,7.6e-05
2141,3.6e-05,3.7e-05,7.7e-05
2142,3.7e-05,3.7e-05,7.7e-05
2143,3.6e-05,3.7e-05,7.6e-05
2144,3.6e-05,3.7e-05,8.2e-05
2145,3.6e-05,3.7e-05,7.6e-05
2146,3.7e-05,3.7e-05,7.6e-05
2147,3.7e-05,3.7e-05,7.5e-05
2148,3.6e-05,3.7e-05,7.6e-05
2149,3.6e-05,3.7e-05,7.5e-05
2150,3.7e-05,3.7e-05,7.6e-05
2151,3.6e-05,3.8e-05,7.6e-05
2152,3.6e-05,3.7e-05,7.8e-05
2153,3.6e-05,3.7e-05,7.5e-05
2154,4.1e-05,3.7e-05,7.6e-05
2155,3.8e-05,3.8e-05,8.2e-05
2156,3.9e-05,3.7e-05,7.7e-05
2157,3.7e-05,3.7e-05,7.6e-05
2158,3.7e-05,3.8e-05,7.6e-05
2159,3.6e-05,3.7e-05,7.8e-05
2160,3.6e-05,3.8e-05,7.7e-05
2161,3.6e-05,3.8e-05,7.6e-05
2162,3.6e-05,3.8e-05,7.8e-05
2163,3.6e-05,3.7e-05,7.7e-05
2164,3.6e-05,3.7e-05,7.7e-05
2165,3.6e-05,3.8e-05,7.7e-05
2166,3.6e-05,3.7e-05,7.9e-05
2167,3.7e-05,3.7e-05,7.7e-05
2168,3.7e-05,3.7e-05,8e-05
2169,3.7e-05,3.8e-05,7.7e-05
2170,3.7e-05,3.8e-05,7.7e-05
2171,3.7e-05,3.8e-05,7.8e-05
2172,3.7e-05,3.7e-05,7.9e-05
2173,3.7e-05,3.7e-05,7.7e-05
2174,3.7e-05,3.7e-05,7.8e-05
2175,3.7e-05,3.9e-05,7.6e-05
2176,4.2e-05,3.8e-05,8.5e-05
2177,3.7e-05,3.7e-05,7.8e-05
2178,3.7e-05,3.7e-05,7.6e-05
2179,3.6e-05,3.7e-05,7.6e-05
2180,3.6e-05,3.8e-05,7.9e-05
2181,3.6e-05,3.7e-05,7.8e-05
2182,3.6e-05,3.7e-05,7.7e-05
2183,3.7e-05,3.7e-05,7.8e-05
2184,3.7e-05,3.7e-05,8e-05
2185,3.7e-05,3.8e-05,7.7e-05
2186,3.6e-05,3.7e-05,7.9e-05
2187,3.7e-05,3.7e-05,8.4e-05
2188,3.7e-05,3.7e-05,7.9e-05
2189,3.7e-05,3.8e-05,7.7e-05
2190,3.7e-05,3.7e-05,7.8e-05
2191,3.8e-05,3.7e-05,8.2e-05
2192,3.7e-05,3.8e-05,7.9e-05
2193,3.7e-05,3.8e-05,7.8e-05
2194,3.7e-05,4.3e-05,7.9e-05
2195,3.7e-05,3.9e-05,7.7e-05
2196,4.2e-05,3.8e-05,7.8e-05
2197,3.8e-05,3.8e-05,8.5e-05
2198,3.7e-05,3.8e-05,8.1e-05
2199,3.7e-05,3.8e-05,7.9e-05
2200,3.7e-05,3.7e-05,8.1e-05
2201,3.7e-05,3.8e-05,7.8e-05
2202,3.7e-05,3.8e-05,8.2e-05
2203,3.6e-05,3.8e-05,7.8e-05
2204,3.6e-05,3.7e-05,7.9e-05
2205,3.6e-05,3.7e-05,7.8e-05
2206,3.7e-05,3.8e-05,7.9e-05
2207,3.7e-05,3.8e-05,8.2e-05
2208,3.7e-05,3.7e-05,8.1e-05
2209,3.7e-05,3.8e-05,7.9e-05
2210,3.7e-05,3.8e-05,7.8e-05
2211,3.7e-05,3.8e-05,7.9e-05
2212,3.7e-05,3.7e-05,7.9e-05
2213,3.7e-05,3.8e-05,7.7e-05
2214,3.7e-05,4.2e-05,7.9e-05
2215,3.7e-05,3.8e-05,7.8e-05
2216,4.2e-05,3.8e-05,8e-05
2217,3.8e-05,3.8e-05,7.8e-05
2218,4e-05,3.7e-05,8.7e-05
2219,3.8e-05,3.8e-05,7.8e-05
2220,3.8e-05,3.8e-05,8e-05
2221,3.8e-05,3.8e-05,7.8e-05
2222,3.7e-05,3.8e-05,7.9e-05
2223,3.7e-05,3.8e-05,7.9e-05
2224,3.7e-05,3.8e-05,8.1e-05
2225,3.7e-05,3.8e-05,7.9e-05
2226,3.7e-05,3.8e-05,7.9e-05
2227,3.7e-05,3.8e-05,0.000133
2228,3.7e-05,3.8e-05,0.000134
2229,3.7e-05,3.8e-05,0.000132
2230,3.8e-05,3.8e-05,0.000133
2231,3.7e-05,3.8e-05,0.000134
2232,3.7e-05,3.8e-05,0.000133
2233,3.7e-05,3.8e-05,0.000131
2234,3.7e-05,4.3e-05,0.000133
2235,3.7e-05,3.8e-05,8.7e-05
2236,4.4e-05,3.8e-05,8.3e-05
2237,3.8e-05,3.8e-05,8e-05
2238,3.8e-05,3.8e-05,8e-05
2239,3.8e-05,3.7e-05,8e-05
2240,3.8e-05,3.8e-05,8e-05
2241,3.8e-05,3.8e-05,7.8e-05
2242,3.8e-05,3.8e-05,7.9e-05
2243,3.7e-05,3.8e-05,8.3e-05
2244,3.7e-05,3.8e-05,8.2e-05
2245,3.7e-05,3.8e-05,8.1e-05
2246,3.6e-05,3.8e-05,8e-05
2247,3.7e-05,3.8e-05,8e-05
2248,3.8e-05,3.8e-05,8.1e-05
2249,3.8e-05,3.8e-05,7.9e-05
2250,3.7e-05,3.8e-05,7.9e-05
2251,3.7e-05,3.8e-05,8e-05
2252,3.7e-05,3.8e-05,8e-05
2253,3.7e-05,4.3e-05,8e-05
2254,3.7e-05,4e-05,8.4e-05
2255,3.7e-05,3.8e-05,8.1e-05
2256,4.7e-05,3.8e-05,8.2e-05
2257,3.8e-05,3.9e-05,7.8e-05
2258,3.7e-05,3.9e-05,8e-05
2259,3.8e-05,3.8e-05,7.9e-05
2260,3.7e-05,3.9e-05,8e-05
2261,3.8e-05,3.8e-05,8.1e-05
2262,3.7e-05,3.9e-05,8.1e-05
2263,3.7e-05,3.8e-05,8e-05
2264,3.7e-05,3.8e-05,9e-05
2265,3.8e-05,3.9e-05,8.1e-05
2266,3.8e-05,3.8e-05,8.2e-05
2267,3.7e-05,3.8e-05,8.2e-05
2268,3.8e-05,3.8e-05,8.3e-05
2269,3.8e-05,3.8e-05,8.1e-05
2270,3.7e-05,3.9e-05,8.1e-05
2271,3.7e-05,3.8e-05,8.2e-05
2272,3.8e-05,3.8e-05,8.2e-05
2273,3.8e-05,4.3e-05,8.1e-05
2274,4.2e-05,3.9e-05,0.00011
2275,3.8e-05,3.9e-05,8.7e-05
2276,3.9e-05,3.9e-05,8.6e-05
2277,3.7e-05,3.8e-05,8.3e-05
2278,3.8e-05,3.9e-05,8.4e-05
2279,3.8e-05,3.9e-05,8.3e-05
2280,3.8e-05,3.8e-05,8.4e-05
2281,3.8e-05,3.9e-05,8.2e-05
2282,4.1e-05,3.8e-05,8.3e-05
2283,3.9e-05,3.9e-05,8.3e-05
2284,3.8e-05,3.8e-05,8.5e-05
2285,3.8e-05,3.8e-05,8.2e-05
2286,3.8e-05,3.9e-05,8.3e-05
2287,3.8e-05,3.9e-05,8.1e-05
2288,3.7e-05,3.8e-05,8.4e-05
2289,3.8e-05,3.9e-05,8.3e-05
2290,3.8e-05,3.9e-05,8.3e-05
2291,3.8e-05,3.8e-05,8.3e-05
2292,3.7e-05,4.4e-05,8.6e-05
2293,3.8e-05,3.9e-05,8.7e-05
2294,3.8e-05,3.9e-05,8.5e-05
2295,4.4e-05,3.9e-05,8.2e-05
2296,3.8e-05,3.9e-05,8.4e-05
2297,3.8e-05,3.9e-05,8.2e-05
2298,3.8e-05,3.9e-05,8.4e-05
2299,3.8e-05,3.9e-05,8.4e-05
2300,3.8e-05,3.9e-05,8.6e-05
2301,3.7e-05,3.9e-05,8.5e-05
2302,3.8e-05,3.8e-05,8.3e-05
2303,3.8e-05,3.8e-05,8.9e-05
2304,3.8e-05,3.9e-05,8.6e-05
2305,3.8e-05,3.9e-05,8.1e-05
2306,3.8e-05,3.9e-05,8.3e-05
2307,3.8e-05,4e-05,8.2e-05
2308,3.8e-05,3.8e-05,8.4e-05
2309,3.8e-05,3.9e-05,8.2e-05
2310,3.8e-05,3.9e-05,8.2e-05
2311,3.8e-05,4.4e-05,8.4e-05
2312,3.8e-05,3.9e-05,8.5e-05
2313,3.8e-05,3.9e-05,8.8e-05
2314,3.8e-05,3.9e-05,8.4e-05
2315,4.3e-05,3.9e-05,8.3e-05
2316,3.8e-05,3.9e-05,8.4e-05
2317,3.8e-05,3.8e-05,8.4e-05
2318,3.9e-05,3.9e-05,8.2e-05
2319,3.8e-05,3.9e-05,8.3e-05
2320,3.8e-05,3.9e-05,8.4e-05
2321,3.8e-05,3.9e-05,8.2e-05
2322,3.8e-05,3.9e-05,8.2e-05
2323,3.8e-05,3.8e-05,8.9e-05
2324,3.8e-05,3.9e-05,8.5e-05
2325,3.9e-05,3.9e-05,8.1e-05
2326,3.9e-05,3.9e-05,8.4e-05
2327,3.8e-05,3.9e-05,8.4e-05
2328,3.8e-05,3.9e-05,8.5e-05
2329,3.8e-05,3.9e-05,8.2e-05
2330,3.9e-05,4.4e-05,8.6e-05
2331,3.8e-05,4.1e-05,8.3e-05
2332,3.9e-05,3.9e-05,8.5e-05
2333,3.8e-05,3.9e-05,0.000105
2334,4.4e-05,3.9e-05,8.5e-05
2335,3.8e-05,3.9e-05,8.5e-05
2336,3.9e-05,3.9e-05,8.5e-05
2337,3.9e-05,3.9e-05,8.5e-05
2338,3.8e-05,3.9e-05,8.4e-05
2339,3.8e-05,3.9e-05,8.5e-05
2340,3.9e-05,3.9e-05,8.5e-05
2341,3.8e-05,3.9e-05,8.5e-05
2342,3.8e-05,3.9e-05,8.4e-05
2343,3.9e-05,4e-05,8.6e-05
2344,3.9e-05,3.9e-05,8.4e-05
2345,4.2e-05,3.9e-05,8.6e-05
2346,3.9e-05,3.9e-05,8.4e-05
2347,3.8e-05,4e-05,8.5e-05
2348,3.9e-05,3.9e-05,8.6e-05
2349,3.8e-05,3.9e-05,8.5e-05
2350,3.8e-05,4e-05,8.5e-05
2351,3.9e-05,4e-05,8.4e-05
2352,3.9e-05,3.9e-05,9e-05
2353,3.8e-05,3.9e-05,8.6e-05
2354,4e-05,3.9e-05,8.5e-05
2355,3.9e-05,3.9e-05,8.4e-05
2356,3.8e-05,4e-05,8.5e-05
2357,3.9e-05,3.9e-05,8.4e-05
2358,3.8e-05,3.9e-05,8.6e-05
2359,3.8e-05,4e-05,8.6e-05
2360,3.9e-05,3.9e-05,8.8e-05
2361,3.8e-05,3.9e-05,8.6e-05
2362,3.9e-05,4e-05,9.5e-05
2363,3.9e-05,3.9e-05,8.6e-05
2364,3.8e-05,3.9e-05,8.6e-05
2365,3.9e-05,4e-05,8.5e-05
2366,3.8e-05,4e-05,8.6e-05
2367,3.9e-05,4e-05,8.6e-05
2368,3.9e-05,4.6e-05,8.8e-05
2369,3.8e-05,4e-05,8.5e-05
2370,3.9e-05,3.9e-05,8.6e-05
2371,3.8e-05,3.9e-05,9.1e-05
2372,3.9e-05,4e-05,8.8e-05
2373,4.4e-05,3.9e-05,8.4e-05
2374,3.9e-05,4.5e-05,8.5e-05
2375,3.9e-05,3.9e-05,8.6e-05
2376,3.8e-05,3.9e-05,8.6e-05
2377,3.9e-05,4e-05,8.6e-05
2378,3.9e-05,4e-05,8.7e-05
2379,3.8e-05,3.9e-05,8.7e-05
2380,3.8e-05,3.9e-05,8.7e-05
2381,3.9e-05,4e-05,9.2e-05
2382,3.9e-05,4e-05,8.6e-05
2383,3.9e-05,3.9e-05,8.6e-05
2384,3.9e-05,3.9e-05,8.9e-05
2385,3.9e-05,4e-05,8.5e-05
2386,3.8e-05,3.9e-05,8.8e-05
2387,3.9e-05,4.5e-05,8.6e-05
2388,3.9e-05,4e-05,8.7e-05
2389,3.9e-05,4e-05,8.8e-05
2390,3.9e-05,3.9e-05,8.9e-05
2391,3.9e-05,3.9e-05,8.7e-05
2392,4.5e-05,4e-05,8.7e-05
2393,3.8e-05,4e-05,8.5e-05
2394,3.9e-05,4e-05,8.8e-05
2395,3.8e-05,4e-05,8.6e-05
2396,3.9e-05,4e-05,8.8e-05
2397,3.9e-05,4e-05,8.6e-05
2398,3.9e-05,4e-05,8.7e-05
2399,3.9e-05,4e-05,8.7e-05
2400,3.9e-05,4e-05,9.5e-05
2401,3.9e-05,3.9e-05,8.9e-05
2402,3.9e-05,3.9e-05,8.7e-05
2403,3.9e-05,4e-05,8.7e-05
2404,3.9e-05,4e-05,8.8e-05
2405,3.9e-05,3.9e-05,8.7e-05
2406,4e-05,4.5e-05,8.8e-05
2407,3.9e-05,4e-05,8.8e-05
2408,3.9e-05,4e-05,8.8e-05
2409,4.2e-05,3.9e-05,9.4e-05
2410,4e-05,3.9e-05,9.1e-05
2411,4.6e-05,4e-05,8.6e-05
2412,3.9e-05,4e-05,9e-05
2413,3.9e-05,4e-05,8.6e-05
2414,3.9e-05,4e-05,8.8e-05
2415,3.9e-05,4e-05,8.7e-05
2416,4e-05,4e-05,9e-05
2417,3.9e-05,4e-05,8.8e-05
2418,3.9e-05,4e-05,8.7e-05
2419,3.9e-05,4e-05,9.5e-05
2420,3.9e-05,4e-05,9e-05
2421,3.9e-05,4e-05,8.8e-05
2422,3.9e-05,4e-05,8.8e-05
2423,3.9e-05,4.1e-05,8.9e-05
2424,3.9e-05,4.5e-05,8.9e-05
2425,4e-05,4.1e-05,8.7e-05
2426,3.9e-05,4e-05,8.8e-05
2427,3.9e-05,4e-05,8.7e-05
2428,3.9e-05,4e-05,9.3e-05
2429,4e-05,4e-05,9e-05
2430,4.4e-05,4e-05,9.1e-05
2431,3.9e-05,4e-05,8.9e-05
2432,4e-05,4e-05,9e-05
2433,3.9e-05,4.1e-05,8.8e-05
2434,4e-05,4e-05,9e-05
2435,3.8e-05,4e-05,8.8e-05
2436,3.9e-05,4.1e-05,8.9e-05
2437,3.9e-05,4e-05,9.4e-05
2438,3.8e-05,4e-05,9.3e-05
2439,3.9e-05,4e-05,8.8e-05
2440,3.9e-05,4.1e-05,9e-05
2441,4e-05,4.1e-05,8.8e-05
2442,4e-05,4e-05,8.8e-05
2443,3.9e-05,4.4e-05,8.9e-05
2444,3.9e-05,4.1e-05,9e-05
2445,4e-05,4e-05,8.7e-05
2446,3.9e-05,4e-05,8.9e-05
2447,3.9e-05,4e-05,9.5e-05
2448,3.9e-05,4e-05,9e-05
2449,4.5e-05,4e-05,8.7e-05
2450,4e-05,4.1e-05,8.8e-05
2451,4e-05,4e-05,8.8e-05
2452,4e-05,4e-05,9.1e-05
2453,4e-05,4e-05,8.8e-05
2454,4e-05,4.1e-05,8.9e-05
2455,4e-05,4.1e-05,8.9e-05
2456,4e-05,4.1e-05,9.6e-05
2457,4e-05,4.1e-05,8.8e-05
2458,4e-05,4.1e-05,8.9e-05
2459,4e-05,4.1e-05,9e-05
2460,4e-05,4.1e-05,9.1e-05
2461,4e-05,4.5e-05,9e-05
2462,4e-05,4.2e-05,9e-05
2463,4e-05,4e-05,9.1e-05
2464,4e-05,4e-05,9.1e-05
2465,4e-05,4e-05,9.4e-05
2466,4e-05,4e-05,9.2e-05
2467,4e-05,4e-05,8.9e-05
2468,4.2e-05,4.1e-05,9.2e-05
2469,4e-05,4.1e-05,9.1e-05
2470,4e-05,4.1e-05,9e-05
2471,4e-05,4.1e-05,8.8e-05
2472,4e-05,4.1e-05,8.9e-05
2473,4.3e-05,4e-05,8.7e-05
2474,4.1e-05,4.1e-05,9.6e-05
2475,4e-05,4e-05,9e-05
2476,4e-05,4e-05,9.2e-05
2477,4e-05,4.1e-05,8.8e-05
2478,4.1e-05,4.1e-05,9e-05
2479,4e-05,4.1e-05,8.9e-05
2480,4e-05,4.6e-05,9e-05
2481,4.1e-05,4.1e-05,9.1e-05
2482,4e-05,4.1e-05,9.2e-05
2483,4e-05,4.1e-05,8.9e-05
2484,4e-05,4.1e-05,9.5e-05
2485,4e-05,4.1e-05,9e-05
2486,4.6e-05,4.1e-05,9.5e-05
2487,4.1e-05,4.1e-05,9.2e-05
2488,4e-05,4.1e-05,9.1e-05
2489,4e-05,4e-05,9.1e-05
2490,4e-05,4.1e-05,9.2e-05
2491,4e-05,4e-05,8.9e-05
2492,4e-05,4.2e-05,9.3e-05
2493,4e-05,4.1e-05,9.3e-05
2494,4e-05,4.1e-05,9.3e-05
2495,4e-05,4e-05,9.1e-05
2496,4e-05,4.1e-05,9.1e-05
2497,4.1e-05,4.1e-05,8.9e-05
2498,4e-05,5.4e-05,9.1e-05
2499,4e-05,4.2e-05,9.2e-05
2500,3.9e-05,4.1e-05,9.2e-05
2501,4e-05,4.7e-05,8.9e-05
2502,4e-05,4.1e-05,9.5e-05
2503,4.1e-05,4.1e-05,9.3e-05
2504,4e-05,5.9e-05,9.2e-05
2505,4.2e-05,7.1e-05,9.1e-05
2506,4.1e-05,7.4e-05,9.1e-05
2507,4.7e-05,7.5e-05,9.1e-05
2508,4e-05,7e-05,9.4e-05
2509,4e-05,7.2e-05,9e-05
2510,4e-05,7.2e-05,9.1e-05
2511,4e-05,8.3e-05,9.5e-05
2512,4e-05,7.3e-05,9.4e-05
2513,4e-05,7.7e-05,9.2e-05
2514,4e-05,7.7e-05,9.2e-05
2515,4e-05,7.6e-05,9e-05
2516,4e-05,8e-05,9.4e-05
2517,4e-05,4.7e-05,9.1e-05
2518,4e-05,4.1e-05,9.1e-05
2519,4.1e-05,4.1e-05,9.2e-05
2520,4e-05,4.1e-05,9.7e-05
2521,4e-05,4.1e-05,9.1e-05
2522,4.1e-05,4.1e-05,9.2e-05
2523,4.6e-05,4.1e-05,9.4e-05
2524,4e-05,4.7e-05,9.4e-05
2525,4e-05,4.1e-05,9.3e-05
2526,4e-05,4.1e-05,9.4e-05
2527,4.1e-05,4.1e-05,9.3e-05
2528,4.1e-05,4.1e-05,9.9e-05
2529,4e-05,4.1e-05,9.2e-05
2530,4e-05,4.1e-05,9.2e-05
2531,4.1e-05,4.1e-05,9.2e-05
2532,4.1e-05,4.1e-05,9.3e-05
2533,4e-05,4.1e-05,9.1e-05
2534,4e-05,4.1e-05,9.4e-05
2535,4.1e-05,4.1e-05,9.3e-05
2536,4.1e-05,4.1e-05,9.5e-05
2537,4.5e-05,4.1e-05,9.7e-05
2538,4.2e-05,4.1e-05,9.7e-05
2539,4.2e-05,4.1e-05,9.3e-05
2540,4.1e-05,4.2e-05,9.4e-05
2541,4.7e-05,4.1e-05,9.1e-05
2542,4.1e-05,4.7e-05,9.4e-05
2543,4e-05,4.1e-05,9.3e-05
2544,4.1e-05,4.2e-05,9.4e-05
2545,4e-05,4.1e-05,9.3e-05
2546,4e-05,4.1e-05,9.9e-05
2547,4.1e-05,4.2e-05,9.6e-05
2548,4.1e-05,4.1e-05,9.3e-05
2549,4.1e-05,4.1e-05,9.4e-05
2550,4e-05,4.1e-05,9.4e-05
2551,4e-05,4.1e-05,0.00015
2552,4.1e-05,4.1e-05,0.000161
2553,4e-05,4.2e-05,0.000168
2554,4.1e-05,4.1e-05,0.000172
2555,4e-05,4.1e-05,0.000162
2556,4.1e-05,4.2e-05,0.000175
2557,4.1e-05,4.1e-05,0.00014
2558,4.1e-05,4.2e-05,9.9e-05
2559,4.6e-05,4.1e-05,0.000102
2560,4.2e-05,4.8e-05,0.0001
2561,4e-05,4.1e-05,9.4e-05
2562,4.5e-05,4.2e-05,0.000101
2563,4.1e-05,4.1e-05,9.4e-05
2564,4.5e-05,4.2e-05,9.4e-05
2565,4.1e-05,4.1e-05,9.3e-05
2566,4.1e-05,4.2e-05,9.4e-05
2567,4e-05,4.1e-05,9.4e-05
2568,4.1e-05,4.1e-05,0.000103
2569,4.1e-05,4.1e-05,9.2e-05
2570,4.1e-05,4.2e-05,9.4e-05
2571,4.1e-05,4.1e-05,9.4e-05
2572,4.1e-05,4.1e-05,9.9e-05
2573,4.1e-05,4.1e-05,9.3e-05
2574,4.1e-05,4.2e-05,9.5e-05
2575,4e-05,4.2e-05,9.4e-05
2576,4.1e-05,4.1e-05,9.6e-05
2577,4.1e-05,4.1e-05,0.000102
2578,4.3e-05,4.6e-05,9.7e-05
2579,4.1e-05,4.1e-05,9.3e-05
2580,4.1e-05,4.2e-05,9.5e-05
2581,4.1e-05,4.2e-05,9.5e-05
2582,4.1e-05,4.1e-05,9.6e-05
2583,4.1e-05,4.2e-05,9.5e-05
2584,4.1e-05,4.2e-05,9.7e-05
2585,4.1e-05,4.2e-05,9.9e-05
2586,4.1e-05,4.1e-05,9.6e-05
2587,4.1e-05,4.1e-05,9.5e-05
2588,4.1e-05,4.2e-05,9.5e-05
2589,4e-05,4.2e-05,9.3e-05
2590,4.1e-05,4.2e-05,9.5e-05
2591,4.1e-05,4.2e-05,9.5e-05
2592,4.1e-05,4.2e-05,9.6e-05
2593,4e-05,4.2e-05,9.3e-05
2594,4.1e-05,4.1e-05,0.000102
2595,4.6e-05,4.2e-05,9.8e-05
2596,4.2e-05,4.8e-05,9.7e-05
2597,4.1e-05,4.2e-05,9.3e-05
2598,4.1e-05,4.2e-05,9.5e-05
2599,4.1e-05,4.2e-05,9.4e-05
2600,4.4e-05,4.2e-05,9.7e-05
2601,4.2e-05,4.1e-05,9.4e-05
2602,4.1e-05,4.2e-05,9.6e-05
2603,4.1e-05,4.2e-05,0.000104
2604,4.1e-05,4.2e-05,9.6e-05
2605,4.1e-05,4.2e-05,9.3e-05
2606,4.2e-05,4.2e-05,9.5e-05
2607,4.2e-05,4.2e-05,9.4e-05
2608,4.2e-05,4.2e-05,9.5e-05
2609,4.1e-05,4.2e-05,9.5e-05
2610,4.1e-05,4.2e-05,9.5e-05
2611,4.1e-05,4.2e-05,9.5e-05
2612,4.1e-05,4.2e-05,0.000102
2613,4.7e-05,4.1e-05,9.5e-05
2614,4.3e-05,4.3e-05,9.7e-05
2615,4.1e-05,4.2e-05,9.6e-05
2616,4.1e-05,4.2e-05,9.7e-05
2617,4.1e-05,4.2e-05,9.4e-05
2618,4.2e-05,4.2e-05,9.5e-05
2619,4.1e-05,4.2e-05,9.4e-05
2620,4.1e-05,4.2e-05,9.7e-05
2621,4.2e-05,4.2e-05,9.5e-05
2622,4.1e-05,4.2e-05,9.6e-05
2623,4.2e-05,4.2e-05,9.5e-05
2624,4.1e-05,4.1e-05,9.6e-05
2625,4.2e-05,4.2e-05,9.4e-05
2626,4.2e-05,4.2e-05,9.5e-05
2627,4.1e-05,4.3e-05,9.4e-05
2628,4.2e-05,4.2e-05,9.6e-05
2629,4.1e-05,4.2e-05,0.000103
2630,4.2e-05,4.3e-05,9.6e-05
2631,4.7e-05,4.8e-05,9.5e-05
2632,4.2e-05,4.3e-05,9.6e-05
2633,4.2e-05,4.3e-05,9.2e-05
2634,4.1e-05,4.2e-05,9.3e-05
2635,4.2e-05,4.2e-05,9.4e-05
2636,4.1e-05,4.2e-05,9.6e-05
2637,4.2e-05,4.3e-05,9.5e-05
2638,4.2e-05,4.2e-05,0.000102
2639,4.1e-05,4.2e-05,9.8e-05
2640,4.2e-05,4.2e-05,9.7e-05
2641,4.2e-05,4.2e-05,9.4e-05
2642,4.1e-05,4.2e-05,9.6e-05
2643,4.2e-05,4.2e-05,9.6e-05
2644,4.2e-05,4.2e-05,9.6e-05
2645,4.2e-05,4.2e-05,9.4e-05
2646,4.1e-05,4.2e-05,9.6e-05
2647,4.2e-05,4.2e-05,0.000104
2648,4.2e-05,4.2e-05,9.7e-05
2649,5e-05,4.3e-05,9.3e-05
2650,4.2e-05,4.2e-05,9.6e-05
2651,4.2e-05,4.2e-05,9.7e-05
2652,4.2e-05,4.2e-05,9.9e-05
2653,4.2e-05,4.2e-05,9.5e-05
2654,4.1e-05,4.2e-05,9.6e-05
2655,4.1e-05,4.2e-05,9.6e-05
2656,4.2e-05,4.2e-05,9.9e-05
2657,4.2e-05,4.2e-05,9.6e-05
2658,4.2e-05,4.3e-05,9.7e-05
