n,plus,multi,minus
262,1.8e-05,1.7e-05,1.7e-05
263,1.8e-05,1.7e-05,1.7e-05
264,1.7e-05,1.7e-05,1.7e-05
265,1.7e-05,1.7e-05,1.8e-05
266,1.7e-05,1.7e-05,1.8e-05
267,1.7e-05,1.7e-05,1.7e-05
268,1.8e-05,1.7e-05,1.7e-05
269,1.8e-05,5.2e-05,1.7e-05
270,1.8e-05,2.7e-05,1.7e-05
271,1.8e-05,2e-05,1.7e-05
272,1.8e-05,1.9e-05,1.7e-05
273,1.7e-05,1.8e-05,1.7e-05
274,1.8e-05,1.7e-05,1.7e-05
275,1.8e-05,1.8e-05,1.7e-05
276,1.8e-05,1.8e-05,1.7e-05
277,1.8e-05,1.7e-05,1.7e-05
278,1.7e-05,1.7e-05,2.1e-05
279,1.8e-05,1.7e-05,1.9e-05
280,1.8e-05,1.8e-05,1.7e-05
281,1.8e-05,1.7e-05,1.7e-05
282,1.7e-05,1.7e-05,1.7e-05
283,1.8e-05,1.7e-05,1.8e-05
284,1.7e-05,1.7e-05,1.8e-05
285,1.7e-05,1.7e-05,1.8e-05
286,1.8e-05,1.7e-05,1.8e-05
287,1.7e-05,1.7e-05,1.7e-05
288,1.8e-05,1.7e-05,1.7e-05
289,1.8e-05,1.7e-05,1.8e-05
290,1.7e-05,1.7e-05,1.8e-05
291,1.8e-05,1.7e-05,1.8e-05
292,1.8e-05,1.7e-05,1.7e-05
293,1.7e-05,1.7e-05,1.7e-05
294,1.8e-05,1.7e-05,1.8e-05
295,1.8e-05,1.8e-05,1.8e-05
296,1.8e-05,1.8e-05,1.7e-05
297,2.4e-05,1.8e-05,1.8e-05
298,2e-05,1.8e-05,1.7e-05
299,1.8e-05,1.7e-05,1.7e-05
300,1.8e-05,1.8e-05,1.8e-05
301,1.9e-05,1.8e-05,1.7e-05
302,1.8e-05,1.8e-05,1.7e-05
303,1.8e-05,1.8e-05,1.8e-05
304,1.7e-05,1.7e-05,1.8e-05
305,2.2e-05,1.8e-05,1.7e-05
306,1.9e-05,1.8e-05,1.8e-05
307,1.8e-05,1.7e-05,1.8e-05
308,1.7e-05,1.8e-05,1.7e-05
309,1.8e-05,1.8e-05,1.8e-05
310,2.2e-05,1.8e-05,1.8e-05
311,1.8e-05,2.7e-05,1.7e-05
312,1.8e-05,1.9e-05,1.8e-05
313,1.8e-05,1.7e-05,1.8e-05
314,1.8e-05,1.8e-05,1.8e-05
315,1.8e-05,1.7e-05,1.8e-05
316,1.8e-05,1.8e-05,1.8e-05
317,1.8e-05,1.8e-05,1.8e-05
318,1.8e-05,1.7e-05,1.8e-05
319,1.8e-05,1.8e-05,1.7e-05
320,1.8e-05,1.8e-05,1.8e-05
321,1.8e-05,1.8e-05,1.8e-05
322,1.8e-05,1.8e-05,1.8e-05
323,1.8e-05,1.7e-05,2.4e-05
324,1.8e-05,1.8e-05,1.9e-05
325,1.8e-05,1.8e-05,1.7e-05
326,1.8e-05,1.7e-05,1.9e-05
327,1.8e-05,1.8e-05,1.8e-05
328,1.8e-05,1.7e-05,1.8e-05
329,1.8e-05,1.8e-05,1.8e-05
330,1.8e-05,1.7e-05,1.8e-05
331,1.8e-05,1.8e-05,1.7e-05
332,1.8e-05,1.7e-05,1.8e-05
333,1.8e-05,1.8e-05,1.8e-05
334,1.8e-05,1.8e-05,1.8e-05
335,1.8e-05,1.7e-05,1.8e-05
336,1.8e-05,1.8e-05,1.8e-05
